genus and species,name for phylogenetic tree,specimen number,taxon,period,stage,Ma,neg Ma,landmass,humerus AP,humerus ML,humerus L,femur AP,femur ML,femur L,tibia circumference (mm),humerus circ (mm),femur circ (mm),hum+fem circ (mm),Campione est mass quadratic (kg),ln Campione est mass quadratic (kg),quadratic mass est low (kg),quadratic mass est high (kg),source,notes,publication year,humerus AP availability,femur AP availability,humerus L availability,femur L availability,tibia circumference (mm) availability
Abydosaurus mcintoshi,Abydosaurusmcintoshi,DINO 39725,tsf,EK,Alb,104.0,-104.0,,,,,,,,,480.4941,603.0,1083.4941,15268.307943023108,9.633534582840603,11451.230957267331,19085.384928778883,"S. Finch, pers. comm. 2021",,2010.0,not available,not available,not available,not available,not available
Aegyptosaurus baharijensis,Aegyptosaurusbaharijensis,BSP 1912 VIII 61 (?destroyed),ti,LK,Cen,96.0,-96.0,AF,,,1000.0,,220.0,1290.0,,459.50160000000005,578.0,1037.5016,13636.39684465868,9.520497735552027,10227.29763349401,17045.49605582335,McPhee et al. 2018,,1958.0,not available,not available,available,available,not available
Arrudatitan maximus,Arrudatitanmaximus,MPMA 12-0001-97,ti,LK,Cam-Maa,71.0,-71.0,SA,,,,,,1550.0,,441.02819999999997,556.0,997.0282,12292.14339331744,9.41671558876299,9219.10754498808,15365.1792416468,"est from pers. comm., Santucci 2011",,2011.0,not available,not available,not available,available,not available
Aeolosaurus rionegrinus,Aeolosaurusrionegrinus,MJG-R1,ti,LK,Cam-Maa,71.0,-71.0,SA,,,,,,,,435.0,550.073,985.073,11911.229136586944,9.385236859088774,8933.421852440208,14889.03642073368,"Powell, 2003",,1987.0,not available,not available,not available,not available,not available
Alamosaurus sanjuanensis,Alamosaurussanjuanensis,TMM 41541-1,salt,LK,Maa,68.0,-68.0,,,,,,,1735.0,,661.0,740.0,1401,29770.895029980493,10.301286518387595,22328.17127248537,37213.618787475614,pers. obs. ,,1922.0,not available,not available,not available,available,not available
Amanzia 'Cetiosauriscus' greppini,AmanziaCetiosauriscusgreppini,M.H. 341,saur,LJ,Kim,154.0,-154.0,EU,,102.0,,,,,,301.0,396.3214,697.3214,4820.259279758973,8.480582998078997,3615.19445981923,6025.324099698717,Schwarz et al. 2020,,1922.0,not available,not available,not available,not available,not available
Amargasaurus cazaui,Amargasauruscazaui,MACN-N 15,doidea,EK,Hau,133.0,-133.0,SA,,,,,,1050.0,,380.0,530.0,910,9683.670726483393,9.178196315671055,7262.753044862545,12104.588408104242,Salgado and Bonaparte 1991,,1991.0,not available,not available,not available,available,not available
Amargatitanis macni,Amargatitanismacni,MACN PV N 34,saur,EK,Hau,133.0,-133.0,SA,,,,,,1100.0,,419.196,530.0,949.196,10811.632844784881,9.288377948697743,8108.724633588661,13514.5410559811,pers. obs. ,,2007.0,not available,not available,not available,available,not available
Ampelosaurus atacis,Ampelosaurusatacis,C33-1297,ti,LK,,76.0,-76.0,EU,,,,,,,,364.0,468.6076,832.6076,7674.595117781783,8.945670817680409,5755.946338336337,9593.243897227228,pers. obs. ,,1995.0,not available,not available,not available,not available,not available
Amphicoelias altus,Amphicoeliasaltus,AMNH 5764,doidea,LJ,Tith,148.0,-148.0,,,,,,,1770.0,,587.136,730.0,1317.136,25367.16361843615,10.141210845729699,19025.372713827113,31708.954523045184,Osborn and Mook 1921,,1877.0,not available,not available,not available,available,not available
Analong chuanjieensis,Analongchuanjieensis,LFGT LCD 9701–1,saur,MJ,Bajocian,169.0,-169.0,AS,80.0,,1042.0,,197.0,1360.0,,410.799,520.0,930.799,10272.776435392145,9.237252610630794,7704.582326544109,12840.970544240181,"Sekiya, 2011",,2011.0,available,not available,available,available,not available
Andesaurus delgadoi,Andesaurusdelgadoi,MUCPv-132,ti,EK/LK,,100.0,-100.0,SA,,190.0,,,,,,513.0,639.5701999999999,1152.5701999999999,17933.532430866337,9.794427559513057,13450.149323149752,22416.91553858292,McPhee et al. 2018,,1991.0,not available,not available,not available,not available,not available
Angolatitan adamastor,Angolatitanadamastor,MGUANPA-003,tsf,LK,Tur,91.0,-91.0,AF,,,,,,,,432.0,546.6308,978.6308,11708.990821835692,9.368112271992896,8781.743116376769,14636.238527294616,Mateus et al. 2011,,2011.0,not available,not available,not available,not available,not available
Anhuilong diboensis,Anhuilongdiboensis,AGB 5822 ,saur,MJ,,166.0,-166.0,AS,,140.0,1050.0,,,,,393.0,501.8822,894.8822,9268.722687217487,9.134400859121818,6951.542015413115,11585.903359021859,Ren et al. 2018,,2018.0,not available,not available,available,not available,not available
Antarctosaurus brasiliensis,Antarctosaurusbrasiliensis,,ti,LK,San,85.0,-85.0,SA,,,,135.0,286.0,,,599.7315,745.0,1344.7314999999999,26769.11072052768,10.19500391670703,20076.83304039576,33461.3884006596,Benson et al. 2018,,2018.0,not available,available,not available,not available,not available
Antarctosaurus giganteus,Antarctosaurusgiganteus,MLP 26-316,ti,LK,,85.0,-85.0,SA,,,,,,2310.0,,639.1974,792.0,1431.1974,31462.251456636815,10.356543739742502,23596.68859247761,39327.81432079602,pers. obs. ,,1929.0,not available,not available,not available,available,not available
Antarctosaurus sp.,Antarctosaurussp.,FMNH P13109,ti,LK,,85.0,-85.0,SA,,,,,,1840.0,,707.2130999999999,873.0,1580.2131,40655.50540430986,10.612889540105925,30491.62905323239,50819.38175538732,pers obs.; Mazzetta et al. 2004,,1929.0,not available,not available,not available,available,not available
Antarctosaurus wichmannianus,Antarctosauruswichmannianus,,ti,LK,San,85.0,-85.0,SA,,,,,,2280.0,,642.5562,796.0,1438.5562,31883.030558021903,10.369829189804605,23912.272918516428,39853.78819752738,McPhee et al. 2018,,1929.0,not available,not available,not available,available,not available
Antetonitrus ingenipes,Antetonitrusingenipes,BP/1/4952,saur,LT,Nor-Rhae,213.0,-213.0,AF,89.0,94.0,717.0,89.0,159.0,794.0,,310.0,410.0,720,5242.996843024874,8.564648530440914,3932.2476322686553,6553.746053781092,McPhee et al. 2018,,2003.0,available,available,available,available,not available
Apatosaurus ajax,Apatosaurusajax,YPM 1860,doidea,LJ,Kim-Tith,154.0,-154.0,,,,1055.0,,,1678.0,,584.0,726.0,1310,25012.056988005188,10.127113267111156,18759.04274100389,31265.071235006486,McPhee et al. 2018,,1877.0,not available,not available,available,available,not available
Apatosaurus excelsus,Apatosaurusexcelsus,,doidea,LJ,Kim-Tith,154.0,-154.0,,129.0,221.0,1080.0,167.0,292.0,1725.0,,591.0,740.0,1331,26065.78180914443,10.168378691348366,19549.336356858323,32582.22726143054,McPhee et al. 2018,,1879.0,available,available,available,available,not available
Apatosaurus louisae,Apatosauruslouisae,CM 3018,doidea,LJ,Kim-Tith,154.0,-154.0,,164.0,238.0,1150.0,174.0,332.3,1785.0,,640.0,845.0,1485,34617.39703008978,10.452111639019925,25963.047772567334,43271.74628761222,pers. obs.; Anderson et al. 1985,,1915.0,available,available,available,available,not available
Apatosaurus parvus,Apatosaurusparvus,UWGM 15556,doidea,LJ,Kim-Tith,154.0,-154.0,,119.0,177.0,1130.0,155.0,290.0,1700.0,,481.0,755.0,1236,21506.84046890553,9.97612632485761,16130.130351679149,26883.550586131914,McPhee et al. 2018,,1902.0,available,available,available,available,not available
Aragosaurus ischiaticus,Aragosaurusischiaticus,MMG-SS,neo,EK,Hau-Barr,130.0,-130.0,EU,,,,,,1420.0,,511.563,640.0,1151.563,17892.787366224467,9.792152970192149,13419.59052466835,22365.984207780584,Royo Torres et al. 2006,,1987.0,not available,not available,not available,available,not available
Argentinosaurus huinculensis,Argentinosaurushuinculensis,MLP-DP 46-VIII-21-3,ti,LK,Cen,96.0,-96.0,SA,,,,,,,,906.222,1110.0,2016.222,76219.95365939573,11.24137856644283,57164.965244546795,95274.94207424467,"Smith et al. 2001; Mazzetta et al., 2004; Bonaparte, 1996, Carballido et al. 2017",,1993.0,not available,not available,not available,not available,not available
Argyrosaurus superbus,Argyrosaurussuperbus,MLP 77-V-29-1,tsf,LK,Cam-Maa,71.0,-71.0,SA,,,,,,,,620.0,762.342,1382.342,28754.06552803753,10.266534445898962,21565.54914602815,35942.58191004691,Powell 2003,,1893.0,not available,not available,not available,not available,not available
Atacamatitan chilensis,Atacamatitanchilensis,SGO-PV-961,ti,LK,,83.0,-83.0,SA,,121.0,,,125.0,1100.0,,347.0,339.0,686,4617.309856355403,8.437567532309528,3462.9823922665523,5771.637320444253,McPhee et al. 2018,,2011.0,not available,not available,not available,available,not available
Atlasaurus imelakei,Atlasaurusimelakei,,saur,MJ,Bath-Call,166.0,-166.0,AF,,,1973.0,,,1943.0,,565.0,690.0,1255,22376.253637073092,10.01575557004606,16782.19022780482,27970.317046341366,McPhee et al. 2018,,1999.0,not available,not available,available,available,not available
Australotitan cooperensis,Australotitancooperensis,EMF102,ti,LK,Cen,96.0,-96.0,AU,,,,,,,,759.0,933.0,1692,48508.59535959495,10.789496285132447,36381.44651969621,60635.74419949368,Hocknull et al. 2021,,2021.0,not available,not available,not available,not available,not available
Bagualia alba,Bagualiaalba,MPEF-PV 3301,saur,EJ,Toar,179.0,-179.0,SA,,,,,,,,,,,1000.0,6.907755278982137,750.0,1250.0,mass is that reported in Pol et al. 2020,,2020.0,not available,not available,not available,not available,not available
Barapasaurus tagorei,Barapasaurustagorei,ISIR 50,saur,EJ-MJ,,182.0,-182.0,IN,,118.0,,,138.0,1365.0,,340.0,372.0,712,5091.3896622006705,8.535306090395986,3818.542246650503,6364.237077750839,McPhee et al. 2018,,1975.0,not available,not available,not available,available,not available
Barosaurus lentus,Barosauruslentus,BYU 9024,doidea,LJ,Kim-Tith,154.0,-154.0,,,,,,,,,,,,60000.0,11.002099841204238,45000.0,75000.0,"Molina-Perez & Larramendi 2020. Dinosaur Facts and Figures: The Sauropods and Other Sauropodomorphs. Princeton University Press, 272 pp.; Taylor, M. and Wedel, M. 2016. How big did Barosaurus get? Symposium on Vertebrate Palaeontology and Comparative Anatomy Abstracts.",scaled up mass of the AMNH 6341 specimen,1890.0,not available,not available,not available,not available,not available
Bellusaurus sui,Bellusaurussui,"IVPP V8300/V8299 (CS) (FL=525); Dong 1990; Royo-Torres et al. 2006 (circumference of cast femur with FL=500 given as 710, which is clearly much too high)",saur,LJ,Ox ,157.0,-157.0,AS,51.5,,370.0,,80.0,550.0,,163.0875,225.0,388.0875,1024.584350422246,6.932042297547197,768.4382628166845,1280.7304380278074,McPhee et al. 2018; Benson et al. 2018,,1990.0,available,not available,available,available,not available
Borealosaurus wimani,Borealosauruswimani,LPM0170,tsf,LK,,85.0,-85.0,AS,,110.0,,,,,,320.0,418.122,738.1220000000001,5596.549147700232,8.629905463154468,4197.411860775174,6995.6864346252905,Cashmore et al. 2020,,2004.0,not available,not available,not available,not available,not available
Brachiosaurus altithorax,Brachiosaurusaltithorax,FMNH P25107,br,LJ,Kim-Tith,154.0,-154.0,,,,,,,2030.0,,930.0,940.0,1870,62787.729381193996,11.047514941345579,47090.7970358955,78484.6617264925,D'Emic & Carrano 2020,,1903.0,not available,not available,not available,available,not available
Brachytrachelopan mesai,Brachytrachelopanmesai,MEF-Pv 1716,doidea,LJ,Ox-Tith,156.0,-156.0,SA,,,,,,1100.0,,444.38700000000006,560.0,1004.3870000000001,12530.249309738845,9.435900944718416,9397.686982304134,15662.811637173556,pers. obs. ,,2005.0,not available,not available,not available,available,not available
Bravasaurus arreirosorum,Bravasaurusarreirosorum,CRILAR-Pv 612,ti,LK,Cam-Maa,71.0,-71.0,SA,,,530.0,,,680.0,,245.0,310.0,555,2642.4246639644152,7.879452207958396,1981.8184979733114,3303.030829955519,Hechenleitner et al. 2020,,2020.0,not available,not available,available,available,not available
Brontosaurus 'Eobrontosaurus' yahnahpin,BrontosaurusEobrontosaurusyahnahpin,TATE 001,doidea,LJ,Kim-Tith,154.0,-154.0,,,190.0,,,,,,513.0,639.5701999999999,1152.5701999999999,17933.532430866337,9.794427559513057,13450.149323149752,22416.91553858292,Benson et al. 2018,,1999.0,not available,not available,not available,not available,not available
Camarasaurus grandis,Camarasaurusgrandis,GMNH 101,neo,LJ,Kim-Tith,154.0,-154.0,,,,1130.0,,228.0,1485.0,,472.0,630.0,1102,15956.836759104812,9.677642653308894,11967.627569328608,19946.045948881016,McPhee et al. 2018,,1877.0,not available,not available,available,available,not available
Camarasaurus lentus,Camarasauruslentus,DINO 4514,neo,LJ,Kim-Tith,154.0,-154.0,,,,,,,1470.0,,570.342,710.0,1280.342,23568.606223648414,10.06767086069205,17676.45466773631,29460.757779560518,Benson et al. 2018,,1889.0,not available,not available,not available,available,not available
Camarasaurus lewisi,Camarasauruslewisi,BYU 9047,neo,LJ,Kim-Tith,154.0,-154.0,,,149.0,1018.0,,,,,450.0,567.284,1017.284,12954.285619444838,9.469181948244955,9715.714214583628,16192.857024306048,McPhee et al. 2018,,1988.0,not available,not available,available,not available,not available
Camarasaurus supremus,Camarasaurussupremus,AMNH 5761,neo,LJ,Kim-Tith,154.0,-154.0,,,,,,,,,600.0,739.3939999999999,1339.3939999999998,26494.372916233282,10.184687646642743,19870.77968717496,33117.966145291604,Osborn and Mook 1921,,1877.0,not available,not available,not available,not available,not available
Cathartesaura anaerobica,Cathartesauraanaerobica,MPCA- 232,doidea,LK,Cen-Con,94.0,-94.0,SA,,,,,,1380.0,,435.99,550.0,985.99,11940.187980721768,9.387665130601704,8955.140985541326,14925.23497590221,Gallina and Apesteguia 2005; P. Gallina pers. comm. 2011,,2005.0,not available,not available,not available,available,not available
Cedarosaurus weiskopfae,Cedarosaurusweiskopfae,DMNH 39045,br,EK,Apt-Alb,112.0,-112.0,,,,,,,1450.0,,445.0,561.5469999999999,1006.5469999999999,12600.66847715319,9.441505145274586,9450.501357864894,15750.835596441488,Tidwell et al. 1999,,1999.0,not available,not available,not available,available,not available
Cetiosauriscus stewarti,Cetiosauriscusstewarti,NHMUK R.3078,neo,MJ,Cal,163.0,-163.0,EU,,,,,,1360.0,,563.0,696.9401999999999,1259.9402,22605.745735193625,10.025959389018379,16954.309301395217,28257.182168992033,Smith Woodward 1905,,1980.0,not available,not available,not available,available,not available
Cetiosaurus oxoniensis,Cetiosaurusoxoniensis,OUMNH J13615,neo,MJ,Bath,166.0,-166.0,EU,,,,,,1615.0,,585.0,683.0,1268,22983.213491842424,10.042519380261677,17237.410118881817,28729.01686480303,Upchurch and Martin 2003,,1870.0,not available,not available,not available,available,not available
Chuanjiesaurus anaensis,Chuanjiesaurusanaensis,LFGT LCD #,saur,MJ,Bajocian,169.0,-169.0,AS,80.0,167.0,1065.0,,225.0,1375.0,,470.41769999999997,591.0,1061.4177,14470.978137309026,9.579900414943474,10853.23360298177,18088.722671636282,"Sekiya, 2011",,2000.0,available,not available,available,available,not available
Chubutisaurus insignis,Chubutisaurusinsignis,MACN 18222,tsf,EK,Apt-Alb,112.0,-112.0,,,,,,,1700.0,,590.0,690.0,1280,23552.264292443637,10.066977243121705,17664.198219332728,29440.330365554546,pers. obs. ,,1975.0,not available,not available,not available,available,not available
Comahuesaurus windhauseni,Comahuesauruswindhauseni,"MOZ-PV 6761, 6762 ",doidea,EK,Apt-Alb,112.0,-112.0,SA,,,,,,,,440.0,585.0,1025,13212.097797531665,9.488888188657949,9909.07334814875,16515.122246914583,Carballido et al. 2012,,2012.0,not available,not available,not available,not available,not available
Dahkla Formation indet,DahklaFormationindet,Vb-646,salt,LK,Maa,68.0,-68.0,AF,,,,,,724.0,,230.2635,305.0,535.2635,2401.519343536466,7.783856875845068,1801.1395076523495,3001.899179420582,Rauhut and Wener 1997,,1997.0,not available,not available,not available,available,not available
Dashanpusaurus dongi,Dashanpusaurusdongi,ZDM 5028,neo,MJ,Baj-Call,167.0,-167.0,AS,,172.0,924.0,,170.0,1114.0,,469.0,452.0,921,9992.588656678943,9.209598962868256,7494.441492509208,12490.735820848678,Peng et al. 2005; Benson et al. 2018,,2005.0,not available,not available,available,available,not available
Daxiatitan binglingi,Daxiatitanbinglingi,GSLTZP03-001,tsf,EK,,125.0,-125.0,AS,,,,,303.0,1770.0,,635.8385999999999,788.0,1423.8386,31044.85723283228,10.343188445071469,23283.64292462421,38806.07154104035,McPhee et al. 2018,,2008.0,not available,not available,not available,available,not available
Demandasaurus darwini,Demandasaurusdarwini,"MDS-RVII,16",doidea,EK,Barr-Apt,121.0,-121.0,EU,,,,,,1080.0,,247.89720000000003,326.0,573.8972,2886.4675792552457,7.96778874258454,2164.850684441434,3608.0844740690573,Est from Fernandez-Baldor et al. 2011 ,,2011.0,not available,not available,not available,available,not available
Diamantinasaurus matildae,Diamantinasaurusmatildae,AODF 603,ti,LK,Cen,96.0,-96.0,AU,,,,,,1330.0,,570.0,662.0,1232,21326.46768691665,9.967704194700438,15994.850765187488,26658.08460864581,Gonzalez-Riga et al. 2016; Hocknull et al. 2021,,2009.0,not available,not available,not available,available,not available
Dicraeosaurus hansemanni,Dicraeosaurushansemanni,Q11,doidea,LJ,Kim-Tith,154.0,-154.0,AF,,,,,,,,339.0,439.9226,778.9226,6444.867685736018,8.771039385408635,4833.650764302013,8056.0846071700225,J. Whitlock pers. comm. 2011,,1914.0,not available,not available,not available,not available,not available
Dicraeosaurus sattleri,Dicraeosaurussattleri,,doidea,LJ,Kim-Tith,154.0,-154.0,AF,,,735.0,,,1205.0,,337.0,555.0,892,9190.868446080493,9.125965709914414,6893.151334560369,11488.585557600616,Benson et al. 2018,,1914.0,not available,not available,available,available,not available
Diplodocus carnegiei,Diplodocuscarnegiei,CM 84,doidea,LJ,Kim-Tith,154.0,-154.0,,,,,174.0,,1520.0,,470.41769999999997,591.0,1061.4177,14470.978137309026,9.579900414943474,10853.23360298177,18088.722671636282,McPhee et al. 2018,,1901.0,not available,available,not available,available,not available
Diplodocus hallorum,Diplodocushallorum,NMMNH P-25079,doidea,LJ,Kim-Tith,154.0,-154.0,,,,,165.0,280.0,1800.0,,588.8154,732.0,1320.8154,25551.449081265215,10.148449309532989,19163.58681094891,31939.31135158152,"Herne and Lucas, 2006; McPhee et al. 2018; J. Spielmann pers. Comm. 2011",,1991.0,not available,available,not available,available,not available
Dongbeititan dongi,Dongbeititandongi,D2867,doidea,LJ,Kim-Tith,154.0,-154.0,,,,,,220.0,1160.0,,459.50160000000005,578.0,1037.5016,13636.39684465868,9.520497735552027,10227.29763349401,17045.49605582335,McPhee et al. 2018,,2007.0,not available,not available,not available,available,not available
Dreadnoughtus schrani,Dreadnoughtusschrani,MPM-PV 1156,ti,LK,Cam-Maa,75.0,-75.0,SA,,,,,,1910.0,,785.0,910.0,1695,48730.98024843188,10.794070251548053,36548.23518632391,60913.72531053985,Lacovara et al. 2014,,2014.0,not available,not available,not available,available,not available
Duriatitan humerocristatus,Duriatitanhumerocristatus,NHMUK 44635,neo,LJ,Kim,155.0,-155.0,EU,,,,,,1400.0,,533.0,662.5182,1195.5182,19723.737870524386,9.889578157381663,14792.803402893289,24654.672338155484,Hulke 1874,,1874.0,not available,not available,not available,available,not available
Dyslocosaurus polyonychius,Dyslocosauruspolyonychius,,saur,LJ,Kim-Tith,154.0,-154.0,,,,,,,,295.0,423.46629435,535.0855,958.55179435,11092.134287358713,9.313991513348167,8319.100715519035,13865.167859198391,McIntosh et al 1992,,1992.0,not available,not available,not available,not available,available
Dystrophaeus viaemalae,Dystrophaeusviaemalae,USNM 2364,neo,LJ,Kim,155.0,-155.0,,,80.0,765.0,,,,,248.0,335.5092,583.5092,3015.7072693642895,8.011589665187948,2261.780452023217,3769.634086705362,McPhee et al. 2018,,1877.0,not available,not available,available,not available,not available
Elaltitan lilloi,Elaltitanlilloi,PVL 4628,ti,LK,,95.0,-95.0,SA,,,,,,,,625.0,810.0,1435,31679.262406016256,10.363417563018942,23759.44680451219,39599.07800752032,pers. obs. ,,2012.0,not available,not available,not available,not available,not available
Eomamenchisaurus,Eomamenchisaurus,CXMVZA 165,saur,MJ,,169.0,-169.0,AS,,,,,,1100.0,,326.82899999999995,420.0,746.829,5771.460698363874,8.660680481426631,4328.595523772906,7214.325872954842,McPhee et al. 2018,,2008.0,not available,not available,not available,available,not available
Epachthosaurus sciuttoi ,Epachthosaurussciuttoi,UNPSJB-PV 920,ti,LK,Cen-Tur,95.0,-95.0,SA,,,,,,1095.0,,430.0,550.0,980,11751.797235268436,9.371761464068758,8813.847926451326,14689.746544085545,Martinez et al. 2004,,1990.0,not available,not available,not available,available,not available
